,loss,val_loss,lr
0,0.05364707112312317,0.018384641036391258,0.001
1,0.01585404761135578,0.01771758310496807,0.001
2,0.014293177984654903,0.012169658206403255,0.001
3,0.013118165545165539,0.011803237721323967,0.001
4,0.011522497981786728,0.011180240660905838,0.001
5,0.010165506973862648,0.010985358618199825,0.001
6,0.011660058982670307,0.008801018819212914,0.001
7,0.009236188605427742,0.012560375966131687,0.001
8,0.00981321930885315,0.008479034528136253,0.001
9,0.009226961061358452,0.009249457158148289,0.001
10,0.00936446338891983,0.008041555993258953,0.001
11,0.009197551757097244,0.009147025644779205,0.001
12,0.009471829980611801,0.008074905723333359,0.001
13,0.008842750452458858,0.007955256849527359,0.001
14,0.009216682985424995,0.006920624990016222,0.001
15,0.008650965057313442,0.010894831269979477,0.001
16,0.008437380194664001,0.011566205881536007,0.001
17,0.008775558322668076,0.007340476382523775,0.001
18,0.007286406122148037,0.007466964423656464,0.001
19,0.00838056392967701,0.011006285436451435,0.001
20,0.0063612028025090694,0.006527798715978861,0.0005
21,0.0063148424960672855,0.006243921350687742,0.0005
22,0.0063097430393099785,0.006523617077618837,0.0005
23,0.0064309630542993546,0.006156425457447767,0.0005
24,0.006199080962687731,0.006368717644363642,0.0005
25,0.006359495222568512,0.006254063453525305,0.0005
26,0.0064106285572052,0.005904328543692827,0.0005
27,0.006293196696788073,0.006073313765227795,0.0005
28,0.006159858778119087,0.0061361417174339294,0.0005
29,0.006015815306454897,0.007391362451016903,0.0005
30,0.006394858472049236,0.0060091703198850155,0.0005
31,0.006136502604931593,0.005778630264103413,0.0005
32,0.006000375375151634,0.006491901818662882,0.0005
33,0.00603829137980938,0.006977698300033808,0.0005
34,0.006106924265623093,0.0056137097999453545,0.0005
35,0.0058685122057795525,0.006311823148280382,0.0005
36,0.006215019151568413,0.005676846951246262,0.0005
37,0.006123196333646774,0.006183653604239225,0.0005
38,0.005690024234354496,0.005501218605786562,0.0005
39,0.0057964203879237175,0.006649479269981384,0.0005
40,0.0058796885423362255,0.008757015690207481,0.0005
41,0.006044329144060612,0.005806238390505314,0.0005
42,0.005853261332958937,0.005753885023295879,0.0005
43,0.005844696890562773,0.005676154512912035,0.0005
44,0.005207279231399298,0.005067023448646069,0.00025
45,0.0052046324126422405,0.005261758808046579,0.00025
46,0.005273350514471531,0.005358411930501461,0.00025
47,0.005241894628852606,0.005393281113356352,0.00025
48,0.005248645786195993,0.005245272070169449,0.00025
49,0.005223241169005632,0.005026288330554962,0.00025
50,0.004989327397197485,0.0052175140008330345,0.000125
51,0.004995517432689667,0.005032088607549667,0.000125
52,0.005004718899726868,0.004968276247382164,0.000125
53,0.005010121501982212,0.005073262378573418,0.000125
54,0.004949721973389387,0.005192510783672333,0.000125
55,0.004875492304563522,0.004868218209594488,6.25e-05
56,0.004868711344897747,0.004894261248409748,6.25e-05
57,0.0048493449576199055,0.004907622933387756,6.25e-05
58,0.004873661324381828,0.004942525178194046,6.25e-05
59,0.004854358267039061,0.004937983117997646,6.25e-05
60,0.004859292414039373,0.005023755598813295,6.25e-05
61,0.004785807337611914,0.004813875071704388,3.125e-05
62,0.00478085083886981,0.00483322236686945,3.125e-05
63,0.004771572537720203,0.004821976646780968,3.125e-05
64,0.004798016510903835,0.004944237414747477,3.125e-05
65,0.004774151835590601,0.0047837430611252785,3.125e-05
66,0.004744588863104582,0.0047798738814890385,1.5625e-05
67,0.004747359082102776,0.0047877514734864235,1.5625e-05
68,0.0047403802163898945,0.004798988811671734,1.5625e-05
69,0.004737024661153555,0.004789135884493589,1.5625e-05
